"","Question","Min","Max","Mean","SD","Count","Story"
"403","How Clever is this story?","26","71","45","19.03","3","A55"
"404","How Imaginative is this story?","28","80","61.33","23.63","3","A55"
"405","How Captivating is this story?","10","79","40.33","28.78","3","A55"
"406","How Humorous is this story?","2","79","28.67","35.61","3","A55"
"407","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","31","61","44","12.57","3","A55"
"408","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","31","61","45.33","12.28","3","A55"
"409","How Creative is this story?","0","10","5","5","2","A56"
"410","How Original is this story?","2","10","6","4","2","A56"
"411","How Clever is this story?","0","15","7.5","7.5","2","A56"
"412","How Imaginative is this story?","1","9","5","4","2","A56"
"413","How Captivating is this story?","0","10","5","5","2","A56"
"414","How Humorous is this story?","0","86","43","43","2","A56"
"415","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","9","63","36","27","2","A56"
"416","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","9","29","19","10","2","A56"
"417","How Creative is this story?","24","94","59","35","2","A59"
"418","How Original is this story?","19","93","56","37","2","A59"
"419","How Clever is this story?","1","39","20","19","2","A59"
"420","How Imaginative is this story?","30","83","56.5","26.5","2","A59"
"421","How Captivating is this story?","5","15","10","5","2","A59"
"422","How Humorous is this story?","1","80","40.5","39.5","2","A59"
"423","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","1","52","26.5","25.5","2","A59"
"424","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","1","37","19","18","2","A59"
"425","How Creative is this story?","0","20","9.33","8.22","3","A60"
"426","How Original is this story?","0","6","2","2.83","3","A60"
"427","How Clever is this story?","0","11","4","4.97","3","A60"
"428","How Imaginative is this story?","0","5","2.67","2.05","3","A60"
"429","How Captivating is this story?","0","5","2","2.16","3","A60"
"430","How Humorous is this story?","0","1","0.33","0.47","3","A60"
"431","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","0","50","19.33","21.93","3","A60"
"432","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","0","31","13.33","13.02","3","A60"
"433","How Creative is this story?","2","51","34","22.64","3","A61"
"434","How Original is this story?","2","100","35.67","45.51","3","A61"
"435","How Clever is this story?","1","55","21","24.17","3","A61"
"436","How Imaginative is this story?","2","56","35.67","23.98","3","A61"
"437","How Captivating is this story?","0","21","14","9.9","3","A61"
"438","How Humorous is this story?","1","4","2.33","1.25","3","A61"
"439","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","2","50","22.33","20.27","3","A61"
"440","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","10","67","32","25.02","3","A61"
"441","How Creative is this story?","19","50","34.5","15.5","2","A62"
"442","How Original is this story?","19","39","29","10","2","A62"
"443","How Clever is this story?","17","19","18","1","2","A62"
"444","How Imaginative is this story?","19","50","34.5","15.5","2","A62"
"445","How Captivating is this story?","0","29","14.5","14.5","2","A62"
"446","How Humorous is this story?","0","19","9.5","9.5","2","A62"
"447","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","19","51","35","16","2","A62"
"448","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","20","51","35.5","15.5","2","A62"
"449","How Creative is this story?","7","7","7","0","1","A63"
"450","How Original is this story?","14","14","14","0","1","A63"
"451","How Clever is this story?","14","14","14","0","1","A63"
"452","How Imaginative is this story?","16","16","16","0","1","A63"
"453","How Captivating is this story?","3","3","3","0","1","A63"
"454","How Humorous is this story?","7","7","7","0","1","A63"
"455","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","39","39","39","0","1","A63"
"456","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","40","40","40","0","1","A63"
"457","How Creative is this story?","51","86","68.5","17.5","2","A64"
"458","How Original is this story?","87","89","88","1","2","A64"
"459","How Clever is this story?","28","36","32","4","2","A64"
"460","How Imaginative is this story?","89","96","92.5","3.5","2","A64"
"461","How Captivating is this story?","0","43","21.5","21.5","2","A64"
"462","How Humorous is this story?","9","68","38.5","29.5","2","A64"
"463","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","40","61","50.5","10.5","2","A64"
"464","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","50","63","56.5","6.5","2","A64"
"465","How Creative is this story?","55","56","55.5","0.5","2","A65"
"466","How Original is this story?","60","77","68.5","8.5","2","A65"
"467","How Clever is this story?","54","61","57.5","3.5","2","A65"
"468","How Imaginative is this story?","64","85","74.5","10.5","2","A65"
"469","How Captivating is this story?","1","76","38.5","37.5","2","A65"
"470","How Humorous is this story?","1","24","12.5","11.5","2","A65"
"471","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","45","65","55","10","2","A65"
"472","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","24","42","33","9","2","A65"
"473","How Creative is this story?","6","19","12.5","6.5","2","A66"
"474","How Original is this story?","1","2","1.5","0.5","2","A66"
"475","How Clever is this story?","0","2","1","1","2","A66"
"476","How Imaginative is this story?","2","30","16","14","2","A66"
"477","How Captivating is this story?","0","1","0.5","0.5","2","A66"
"478","How Humorous is this story?","0","1","0.5","0.5","2","A66"
"479","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","14","19","16.5","2.5","2","A66"
"480","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","19","20","19.5","0.5","2","A66"
"481","How Creative is this story?","0","60","30","30","2","A67"
"482","How Original is this story?","0","61","30.5","30.5","2","A67"
"483","How Clever is this story?","0","60","30","30","2","A67"
"484","How Imaginative is this story?","0","61","30.5","30.5","2","A67"
"485","How Captivating is this story?","0","61","30.5","30.5","2","A67"
"486","How Humorous is this story?","0","60","30","30","2","A67"
"487","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","0","50","25","25","2","A67"
"488","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","0","50","25","25","2","A67"
"489","How Creative is this story?","19","91","55","36","2","A68"
"490","How Original is this story?","50","96","73","23","2","A68"
"491","How Clever is this story?","0","90","45","45","2","A68"
"492","How Imaginative is this story?","0","79","39.5","39.5","2","A68"
"493","How Captivating is this story?","0","86","43","43","2","A68"
"494","How Humorous is this story?","0","82","41","41","2","A68"
"495","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","39","70","54.5","15.5","2","A68"
"496","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","38","93","65.5","27.5","2","A68"
"497","How Creative is this story?","1","1","1","0","1","A70"
"498","How Original is this story?","10","10","10","0","1","A70"
"499","How Clever is this story?","1","1","1","0","1","A70"
"500","How Imaginative is this story?","9","9","9","0","1","A70"
"501","How Captivating is this story?","1","1","1","0","1","A70"
"502","How Humorous is this story?","1","1","1","0","1","A70"
"503","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","50","50","50","0","1","A70"
"504","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","40","40","40","0","1","A70"
"505","How Creative is this story?","100","100","100","0","1","A71"
"506","How Original is this story?","100","100","100","0","1","A71"
"507","How Clever is this story?","99","99","99","0","1","A71"
"508","How Imaginative is this story?","100","100","100","0","1","A71"
"509","How Captivating is this story?","100","100","100","0","1","A71"
"510","How Humorous is this story?","11","11","11","0","1","A71"
"511","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","70","70","70","0","1","A71"
"512","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","73","73","73","0","1","A71"
"513","How Creative is this story?","1","39","20","19","2","A72"
"514","How Original is this story?","1","39","20","19","2","A72"
"515","How Clever is this story?","2","39","20.5","18.5","2","A72"
"516","How Imaginative is this story?","1","40","20.5","19.5","2","A72"
"517","How Captivating is this story?","1","39","20","19","2","A72"
"518","How Humorous is this story?","14","50","32","18","2","A72"
"519","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","3","29","16","13","2","A72"
"520","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","2","29","15.5","13.5","2","A72"
"521","How Creative is this story?","64","64","64","0","1","A73"
"522","How Original is this story?","53","53","53","0","1","A73"
"523","How Clever is this story?","55","55","55","0","1","A73"
"524","How Imaginative is this story?","74","74","74","0","1","A73"
"525","How Captivating is this story?","61","61","61","0","1","A73"
"526","How Humorous is this story?","31","31","31","0","1","A73"
"527","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","55","55","55","0","1","A73"
"528","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","43","43","43","0","1","A73"
"529","How Creative is this story?","39","100","69.5","30.5","2","A74"
"530","How Original is this story?","61","100","80.5","19.5","2","A74"
"531","How Clever is this story?","0","16","8","8","2","A74"
"532","How Imaginative is this story?","27","100","63.5","36.5","2","A74"
"533","How Captivating is this story?","13","57","35","22","2","A74"
"534","How Humorous is this story?","0","1","0.5","0.5","2","A74"
"535","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","5","54","29.5","24.5","2","A74"
"536","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","4","52","28","24","2","A74"
"537","How Creative is this story?","10","34","22","12","2","A75"
"538","How Original is this story?","5","63","34","29","2","A75"
"539","How Clever is this story?","18","60","39","21","2","A75"
"540","How Imaginative is this story?","22","49","35.5","13.5","2","A75"
"541","How Captivating is this story?","6","48","27","21","2","A75"
"542","How Humorous is this story?","1","10","5.5","4.5","2","A75"
"543","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","31","60","45.5","14.5","2","A75"
"544","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","23","61","42","19","2","A75"
"545","How Creative is this story?","0","48","18","21.35","3","A76"
"546","How Original is this story?","0","28","11.67","11.9","3","A76"
"547","How Clever is this story?","0","49","18.33","21.82","3","A76"
"548","How Imaginative is this story?","0","50","19","22.11","3","A76"
"549","How Captivating is this story?","0","27","11.33","11.44","3","A76"
"550","How Humorous is this story?","0","38","15.33","16.36","3","A76"
"551","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","3","54","28.67","20.82","3","A76"
"552","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","3","53","31","20.85","3","A76"
"553","How Creative is this story?","0","0","0","0","0","A77"
"554","How Original is this story?","0","0","0","0","1","A77"
"555","How Clever is this story?","0","0","0","0","0","A77"
"556","How Imaginative is this story?","0","0","0","0","0","A77"
"557","How Captivating is this story?","0","0","0","0","0","A77"
"558","How Humorous is this story?","0","0","0","0","0","A77"
"559","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","0","0","0","0","1","A77"
"560","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","0","0","0","0","1","A77"
"561","How Creative is this story?","8","49","31.67","17.33","3","A78"
"562","How Original is this story?","7","61","28.67","23.3","3","A78"
"563","How Clever is this story?","8","18","13","5","2","A78"
"564","How Imaginative is this story?","7","61","25.33","25.22","3","A78"
"565","How Captivating is this story?","7","48","21","19.1","3","A78"
"566","How Humorous is this story?","7","24","14.67","7.04","3","A78"
"567","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","19","30","24.5","5.5","2","A78"
"568","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","20","42","29","9.42","3","A78"
"569","How Creative is this story?","0","0","0","0","1","A79"
"570","How Original is this story?","0","0","0","0","1","A79"
"571","How Clever is this story?","0","0","0","0","1","A79"
"572","How Imaginative is this story?","0","0","0","0","1","A79"
"573","How Captivating is this story?","0","0","0","0","1","A79"
"574","How Humorous is this story?","0","0","0","0","1","A79"
"575","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","51","51","51","0","1","A79"
"576","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","51","51","51","0","1","A79"
"577","How Creative is this story?","2","84","46.67","33.88","3","A80"
"578","How Original is this story?","10","78","52","29.98","3","A80"
"579","How Clever is this story?","0","60","40","28.28","3","A80"
"580","How Imaginative is this story?","3","85","51.67","35.19","3","A80"
"581","How Captivating is this story?","3","46","30.33","19.4","3","A80"
"582","How Humorous is this story?","20","79","46.33","24.5","3","A80"
"583","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","13","71","43.67","23.8","3","A80"
"584","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","15","85","48.67","28.64","3","A80"
"585","How Creative is this story?","1","34","12.75","13.08","4","A81"
"586","How Original is this story?","1","33","14.5","13.57","4","A81"
"587","How Clever is this story?","1","40","13.75","15.75","4","A81"
"588","How Imaginative is this story?","1","39","13.25","15.24","4","A81"
"589","How Captivating is this story?","2","49","30.33","20.37","3","A81"
"590","How Humorous is this story?","0","6","2.25","2.28","4","A81"
"591","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","10","49","31.25","13.97","4","A81"
"592","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","6","84","38.5","30.78","4","A81"
"593","How Creative is this story?","5","68","43","24.59","4","A82"
"594","How Original is this story?","14","63","43.25","19.87","4","A82"
"595","How Clever is this story?","5","60","33","23.84","4","A82"
"596","How Imaginative is this story?","7","73","39.75","27.47","4","A82"
"597","How Captivating is this story?","18","66","46","17.44","4","A82"
"598","How Humorous is this story?","0","16","7.25","6.53","4","A82"
"599","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","37","76","53.5","14.12","4","A82"
"600","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","37","79","51.25","16.5","4","A82"
"601","How Creative is this story?","0","84","42","42","2","A84"
"602","How Original is this story?","0","80","40","40","2","A84"
"603","How Clever is this story?","47","54","50.5","3.5","2","A84"
"604","How Imaginative is this story?","0","82","41","41","2","A84"
"605","How Captivating is this story?","67","81","74","7","2","A84"
"606","How Humorous is this story?","0","0","0","0","2","A84"
"607","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","30","100","65","35","2","A84"
"608","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","70","100","85","15","2","A84"
"609","How Creative is this story?","13","34","20.67","9.46","3","A85"
"610","How Original is this story?","9","28","20","8.04","3","A85"
"611","How Clever is this story?","13","34","21","9.27","3","A85"
"612","How Imaginative is this story?","7","27","19.33","8.81","3","A85"
"613","How Captivating is this story?","7","33","17.67","11.12","3","A85"
"614","How Humorous is this story?","6","11","8","2.16","3","A85"
"615","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","11","30","20.5","9.5","2","A85"
"616","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","12","51","31.33","15.92","3","A85"
"617","How Creative is this story?","83","100","91.5","8.5","2","A86"
"618","How Original is this story?","84","95","89.5","5.5","2","A86"
"619","How Clever is this story?","52","72","62","10","2","A86"
"620","How Imaginative is this story?","80","100","90","10","2","A86"
"621","How Captivating is this story?","64","65","64.5","0.5","2","A86"
"622","How Humorous is this story?","62","80","71","9","2","A86"
"623","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","53","78","65.5","12.5","2","A86"
"624","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","75","81","78","3","2","A86"
"625","How Creative is this story?","1","40","14.67","17.93","3","A88"
"626","How Original is this story?","2","64","29","25.94","3","A88"
"627","How Clever is this story?","1","2","1.67","0.47","3","A88"
"628","How Imaginative is this story?","1","35","18.67","13.91","3","A88"
"629","How Captivating is this story?","2","2","2","0","3","A88"
"630","How Humorous is this story?","2","5","3.33","1.25","3","A88"
"631","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","1","3","2","0.82","3","A88"
"632","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","1","4","2.33","1.25","3","A88"
"633","How Creative is this story?","14","60","39.33","19.07","3","A89"
"634","How Original is this story?","6","46","27.33","16.44","3","A89"
"635","How Clever is this story?","8","38","21.67","12.39","3","A89"
"636","How Imaginative is this story?","17","58","35.33","17.02","3","A89"
"637","How Captivating is this story?","4","54","28.33","20.43","3","A89"
"638","How Humorous is this story?","7","53","26.33","19.48","3","A89"
"639","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","31","50","40.33","7.76","3","A89"
"640","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","35","57","47.33","9.18","3","A89"
"641","How Creative is this story?","4","51","25.67","19.36","3","C1"
"642","How Original is this story?","4","52","24.33","20.27","3","C1"
"643","How Clever is this story?","1","26","9.67","11.56","3","C1"
"644","How Imaginative is this story?","3","50","28.67","19.43","3","C1"
"645","How Captivating is this story?","19","37","27","7.48","3","C1"
"646","How Humorous is this story?","0","52","18.67","23.63","3","C1"
"647","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","16","79","48.67","25.77","3","C1"
"648","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","15","82","49.33","27.38","3","C1"
"649","How Creative is this story?","15","58","42.67","19.6","3","C2"
"650","How Original is this story?","15","85","53.67","29.04","3","C2"
"651","How Clever is this story?","15","59","39.67","18.35","3","C2"
"652","How Imaginative is this story?","15","71","49.33","24.55","3","C2"
"653","How Captivating is this story?","15","71","37.33","24.23","3","C2"
"654","How Humorous is this story?","8","15","10.67","3.09","3","C2"
"655","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","14","72","45","23.85","3","C2"
"656","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","15","82","52.67","27.98","3","C2"
"657","How Creative is this story?","0","8","3.33","3.4","3","C3"
"658","How Original is this story?","0","9","4.33","3.68","3","C3"
"659","How Clever is this story?","0","9","4.67","3.68","3","C3"
"660","How Imaginative is this story?","0","12","4.67","5.25","3","C3"
"661","How Captivating is this story?","0","7","3","2.94","3","C3"
"662","How Humorous is this story?","0","9","3.67","3.86","3","C3"
"663","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","8","55","38","21.28","3","C3"
"664","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","10","58","39.33","21","3","C3"
"665","How Creative is this story?","9","57","26.33","21.75","3","C4"
"666","How Original is this story?","9","73","39","26.28","3","C4"
"667","How Clever is this story?","4","33","18.67","11.84","3","C4"
"668","How Imaginative is this story?","11","54","39.33","20.04","3","C4"
"669","How Captivating is this story?","2","67","37.33","26.84","3","C4"
"670","How Humorous is this story?","1","27","9.67","12.26","3","C4"
"671","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","7","33","22","10.98","3","C4"
"672","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","6","57","29","21.12","3","C4"
"673","How Creative is this story?","0","48","19","20.83","3","C5"
"674","How Original is this story?","0","39","15.67","16.82","3","C5"
"675","How Clever is this story?","0","21","9.33","8.73","3","C5"
"676","How Imaginative is this story?","0","47","18.33","20.53","3","C5"
"677","How Captivating is this story?","0","17","9.67","7.13","3","C5"
"678","How Humorous is this story?","0","4","2","1.63","3","C5"
"679","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","0","66","26.33","28.55","3","C5"
"680","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","0","72","28","31.5","3","C5"
"681","How Creative is this story?","1","30","15.5","14.5","2","C6"
"682","How Original is this story?","6","16","11","5","2","C6"
"683","How Clever is this story?","1","15","8","7","2","C6"
"684","How Imaginative is this story?","25","33","29","4","2","C6"
"685","How Captivating is this story?","19","26","22.5","3.5","2","C6"
"686","How Humorous is this story?","1","15","8","7","2","C6"
"687","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","19","53","36","17","2","C6"
"688","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","20","53","36.5","16.5","2","C6"
"689","How Creative is this story?","1","1","1","0","1","C7"
"690","How Original is this story?","1","1","1","0","1","C7"
"691","How Clever is this story?","1","1","1","0","1","C7"
"692","How Imaginative is this story?","1","1","1","0","1","C7"
"693","How Captivating is this story?","1","1","1","0","1","C7"
"694","How Humorous is this story?","1","1","1","0","1","C7"
"695","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","1","1","1","0","1","C7"
"696","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","1","1","1","0","1","C7"
"697","How Creative is this story?","39","55","47","8","2","C8"
"698","How Original is this story?","50","56","53","3","2","C8"
"699","How Clever is this story?","28","51","39.5","11.5","2","C8"
"700","How Imaginative is this story?","42","53","47.5","5.5","2","C8"
"701","How Captivating is this story?","42","63","52.5","10.5","2","C8"
"702","How Humorous is this story?","11","18","14.5","3.5","2","C8"
"703","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","45","59","52","7","2","C8"
"704","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","43","61","52","9","2","C8"
"705","How Creative is this story?","59","75","64.33","7.54","3","C9"
"706","How Original is this story?","25","65","49","17.28","3","C9"
"707","How Clever is this story?","40","81","56.67","17.59","3","C9"
"708","How Imaginative is this story?","46","76","59.67","12.39","3","C9"
"709","How Captivating is this story?","30","72","51.67","17.17","3","C9"
"710","How Humorous is this story?","0","66","22","31.11","3","C9"
"711","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","39","77","55","16.08","3","C9"
"712","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","41","60","51.33","7.85","3","C9"
"713","How Creative is this story?","3","3","3","0","1","C10"
"714","How Original is this story?","33","33","33","0","1","C10"
"715","How Clever is this story?","49","49","49","0","1","C10"
"716","How Imaginative is this story?","72","72","72","0","1","C10"
"717","How Captivating is this story?","33","33","33","0","1","C10"
"718","How Humorous is this story?","15","15","15","0","1","C10"
"719","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","43","43","43","0","1","C10"
"720","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","35","35","35","0","1","C10"
"721","How Creative is this story?","2","50","28.67","19.96","3","C11"
"722","How Original is this story?","2","69","31","28.08","3","C11"
"723","How Clever is this story?","2","46","16.67","20.74","3","C11"
"724","How Imaginative is this story?","2","55","20.67","24.31","3","C11"
"725","How Captivating is this story?","2","33","12.67","14.38","3","C11"
"726","How Humorous is this story?","0","73","25","33.95","3","C11"
"727","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","1","47","30.33","20.81","3","C11"
"728","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","2","50","28","19.8","3","C11"
"729","How Creative is this story?","0","0","0","0","1","C12"
"730","How Original is this story?","0","0","0","0","1","C12"
"731","How Clever is this story?","0","0","0","0","1","C12"
"732","How Imaginative is this story?","0","0","0","0","1","C12"
"733","How Captivating is this story?","0","0","0","0","1","C12"
"734","How Humorous is this story?","0","0","0","0","1","C12"
"735","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","0","0","0","0","1","C12"
"736","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","0","0","0","0","1","C12"
"737","How Creative is this story?","28","28","28","0","1","C13"
"738","How Original is this story?","94","94","94","0","1","C13"
"739","How Clever is this story?","66","66","66","0","1","C13"
"740","How Imaginative is this story?","92","92","92","0","1","C13"
"741","How Captivating is this story?","80","80","80","0","1","C13"
"742","How Humorous is this story?","8","8","8","0","1","C13"
"743","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","48","48","48","0","1","C13"
"744","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","90","90","90","0","1","C13"
"745","How Creative is this story?","8","61","34.5","26.5","2","C16"
"746","How Original is this story?","25","56","40.5","15.5","2","C16"
"747","How Clever is this story?","5","48","26.5","21.5","2","C16"
"748","How Imaginative is this story?","7","61","34","27","2","C16"
"749","How Captivating is this story?","3","39","21","18","2","C16"
"750","How Humorous is this story?","0","28","14","14","2","C16"
"751","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","1","67","34","33","2","C16"
"752","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","1","79","40","39","2","C16"
"753","How Creative is this story?","11","19","14","3.56","3","C17"
"754","How Original is this story?","11","59","29.33","21.17","3","C17"
"755","How Clever is this story?","11","18","14.33","2.87","3","C17"
"756","How Imaginative is this story?","11","26","18.33","6.13","3","C17"
"757","How Captivating is this story?","11","33","21","9.09","3","C17"
"758","How Humorous is this story?","11","18","13.33","3.3","3","C17"
"759","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","9","24","16.33","6.13","3","C17"
"760","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","9","24","18","6.48","3","C17"
"761","How Creative is this story?","3","3","3","0","1","C18"
"762","How Original is this story?","2","2","2","0","1","C18"
"763","How Clever is this story?","1","1","1","0","1","C18"
"764","How Imaginative is this story?","2","2","2","0","1","C18"
"765","How Captivating is this story?","2","2","2","0","1","C18"
"766","How Humorous is this story?","2","2","2","0","1","C18"
"767","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","6","6","6","0","1","C18"
"768","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","6","6","6","0","1","C18"
"769","How Creative is this story?","1","21","11","10","2","C19"
"770","How Original is this story?","3","52","27.5","24.5","2","C19"
"771","How Clever is this story?","6","33","19.5","13.5","2","C19"
"772","How Imaginative is this story?","1","24","12.5","11.5","2","C19"
"773","How Captivating is this story?","1","26","13.5","12.5","2","C19"
"774","How Humorous is this story?","1","51","26","25","2","C19"
"775","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","29","51","40","11","2","C19"
"776","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","16","33","24.5","8.5","2","C19"
"777","How Creative is this story?","0","16","8","8","2","C20"
"778","How Original is this story?","0","12","6","6","2","C20"
"779","How Clever is this story?","0","11","5.5","5.5","2","C20"
"780","How Imaginative is this story?","0","6","3","3","2","C20"
"781","How Captivating is this story?","0","12","6","6","2","C20"
"782","How Humorous is this story?","0","9","4.5","4.5","2","C20"
"783","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","5","25","15","10","2","C20"
"784","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","3","18","10.5","7.5","2","C20"
"785","How Creative is this story?","0","28","9.67","12.97","3","C21"
"786","How Original is this story?","0","27","9.33","12.5","3","C21"
"787","How Clever is this story?","0","20","7","9.2","3","C21"
"788","How Imaginative is this story?","0","9","3.33","4.03","3","C21"
"789","How Captivating is this story?","0","28","9.67","12.97","3","C21"
"790","How Humorous is this story?","0","29","10","13.44","3","C21"
"791","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","9","21","16","5.1","3","C21"
"792","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","1","20","12.67","8.34","3","C21"
"793","How Creative is this story?","0","13","6.5","6.5","2","C22"
"794","How Original is this story?","0","11","5.5","5.5","2","C22"
"795","How Clever is this story?","0","13","6.5","6.5","2","C22"
"796","How Imaginative is this story?","0","13","6.5","6.5","2","C22"
"797","How Captivating is this story?","0","11","5.5","5.5","2","C22"
"798","How Humorous is this story?","0","13","6.5","6.5","2","C22"
"799","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","0","32","16","16","2","C22"
"800","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","0","34","17","17","2","C22"
"801","How Creative is this story?","2","11","6.5","4.5","2","C23"
"802","How Original is this story?","2","11","6.5","4.5","2","C23"
"803","How Clever is this story?","2","8","5","3","2","C23"
"804","How Imaginative is this story?","2","10","6","4","2","C23"
"805","How Captivating is this story?","2","19","10.5","8.5","2","C23"
"806","How Humorous is this story?","1","9","5","4","2","C23"
"807","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","1","10","5.5","4.5","2","C23"
"808","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","1","18","9.5","8.5","2","C23"
"809","How Creative is this story?","39","39","39","0","1","C24"
